_id,geometry.coordinates,geometry.type,properties.description,properties.id,properties.name,properties.parent_station,properties.route_id,properties.route_variante_id,properties.wheelchair_boarding,type
615615f357da3ca0b0969241,"[5.977972984313965,47.23643493652344]",Point,,st_fresnel,Fresnel,,,,unknown,Feature
615615f357da3ca0b0969240,"[6.033674240112305,47.242454528808594]",Point,,st_diderot,Diderot,,,,unknown,Feature
615615f357da3ca0b0969242,"[6.047886,47.2461]",Point,,CHAFFAN1,Chaffanjon,st_chaffanjon,10,88-2,unknown,Feature
615615f357da3ca0b0969243,"[6.015287,47.24125]",Point,,SIFFERT1,Siffert,st_siffert,9,5-4,unknown,Feature
615615f357da3ca0b0969244,"[6.026629,47.23971]",Point,,POSTE2,Poste,st_poste,11,55-0,available,Feature
615615f357da3ca0b0969245,"[6.031481,47.24918]",Point,,MARILOU2,Marie Louise,st_marie_louise,11,55-1,unknown,Feature
615615f357da3ca0b0969246,"[6.00058,47.24603]",Point,,PALSPOR2,Palais des Sports,st_palais_des_sports,,,available,Feature
615615f357da3ca0b0969247,"[5.960859,47.221622]",Point,,VOLTAIR1,Voltaire,st_voltaire,4,116-1,available,Feature
615615f357da3ca0b0969248,"[6.003371,47.24895]",Point,,BROGRET1,Brossolette Greta,st_brossolette_greta,6,155-3,unknown,Feature
615615f357da3ca0b0969249,"[6.036479,47.257523]",Point,,MUTUALI2,Mutualité,st_mutualite,6,155-2,available,Feature
615615f357da3ca0b096924a,"[6.04736,47.268967]",Point,,CHEMPAL2,Chemin de Palente,st_chemin_de_palente,11,55-0,unknown,Feature
615615f357da3ca0b096924b,"[5.988835,47.229027]",Point,,CONCORD1,Concorde,st_concorde,4,116-4,available,Feature
615615f357da3ca0b096924c,"[6.033944129943848,47.25611877441406]",Point,,st_les_oiseaux,Les Oiseaux,,,,unknown,Feature
615615f357da3ca0b096924d,"[5.984114,47.228016]",Point,,ORATOIR2,Oratoire,st_oratoire,4,116-1,available,Feature
615615f357da3ca0b096924e,"[6.052358150482178,47.243404388427734]",Point,,st_bregille,Bregille,,,,available,Feature
615615f357da3ca0b096924f,"[6.0069780349731445,47.2413330078125]",Point,,st_trepillot,Trépillot,,,,unknown,Feature
615615f357da3ca0b0969250,"[6.022922,47.25833]",Point,,SEILER2,Seiler,st_seiler,8,45-1,unknown,Feature
615615f357da3ca0b0969251,"[6.022766,47.263992]",Point,,FLSAUT02,"Feuilles d'Automne",st_feuilles_dautomne,12,24-2,unknown,Feature
615615f357da3ca0b0969252,"[6.04388,47.25942]",Point,,CORVEE1,Corvée,st_corvee,6,155-3,available,Feature
615615f357da3ca0b0969253,"[6.027451992034912,47.235755920410156]",Point,,st_st_maurice,St Maurice,,,,unknown,Feature
615615f357da3ca0b0969254,"[6.009932,47.250153]",Point,,FONT EC1,Fontaine Ecu,st_fontaine_ecu,9,5-4,unknown,Feature
615615f357da3ca0b0969255,"[6.013616561889648,47.25563049316406]",Point,,st_charmilles,Charmilles,,,,unknown,Feature
615615f357da3ca0b0969256,"[5.9560003,47.22321]",Point,,UFRSANT1,UFR Santé,st_ufr_sante,7,63-4,available,Feature
615615f357da3ca0b0969257,"[6.029016,47.259567]",Point,,QUATVEN2,4 Vents,st_4_vents,7,63-5,available,Feature
615615f357da3ca0b0969258,"[6.044944763183594,47.25596618652344]",Point,,st_schweitzer,Schweitzer,,,,available,Feature
615615f357da3ca0b0969259,"[6.0118279457092285,47.22438430786133]",Point,,st_residence_moingeon,Résidence Moingeon,,,,unknown,Feature
615615f357da3ca0b096925a,"[5.976289,47.237568]",Point,,CHAILLE1,Chaille,st_chaille,9,5-4,unknown,Feature
615615f357da3ca0b096925b,"[6.010425,47.22985]",Point,,POLYGON2,Polygone,st_polygone,9,5-4,unknown,Feature
615615f357da3ca0b096925c,"[6.03025,47.25307]",Point,,DUCHAIL1,Duchaillut,st_duchaillut,4,116-1,unknown,Feature
615615f357da3ca0b096925d,"[6.0313920974731445,47.232154846191406]",Point,,st_citadelle,Citadelle,,,,available,Feature
615615f357da3ca0b096925e,"[6.026047,47.236267]",Point,,CARMES1,Carmes,st_carmes,27,49-2,available,Feature
615615f357da3ca0b096925f,"[6.020009,47.2403]",Point,,BATTANT1,Battant,st_battant,8,45-1,unknown,Feature
